anio,mes,departamento,municipio,atractivo,total_entr
2022,octubre,Tolima,Ibagué,Parque Nacional Natural Nevados,4744.0
2022,noviembre,Tolima,Ibagué,Parque Nacional Natural Nevados,4512.0
2022,diciembre,Tolima,Ibagué,Parque Nacional Natural Nevados,4124.0
2023,enero,Tolima,Ibagué,Parque Nacional Natural Nevados,8181.0
2023,febrero,Tolima,Ibagué,Parque Nacional Natural Nevados,2987.0
2023,marzo,Tolima,Ibagué,Parque Nacional Natural Nevados,3271.0
2023,abril,Tolima,Ibagué,Parque Nacional Natural Nevados,0.0
2023,mayo,Tolima,Ibagué,Parque Nacional Natural Nevados,0.0
2023,junio,Tolima,Ibagué,Parque Nacional Natural Nevados,0.0
2023,julio,Tolima,Ibagué,Parque Nacional Natural Nevados,0.0
2023,agosto,Tolima,Ibagué,Parque Nacional Natural Nevados,1306.0
2023,septiembre,Tolima,Ibagué,Parque Nacional Natural Nevados,808.0
2023,octubre,Tolima,Ibagué,Parque Nacional Natural Nevados,2912.0
2023,noviembre,Tolima,Ibagué,Parque Nacional Natural Nevados,2745.0
2023,diciembre,Tolima,Ibagué,Parque Nacional Natural Nevados,3674.0
2024,enero,Tolima,Ibagué,Parque Nacional Natural Nevados,7355.0
2024,febrero,Tolima,Ibagué,Parque Nacional Natural Nevados,2933.0
2024,marzo,Tolima,Ibagué,Parque Nacional Natural Nevados,8185.0
2024,abril,Tolima,Ibagué,Parque Nacional Natural Nevados,2540.0
2024,mayo,Tolima,Ibagué,Parque Nacional Natural Nevados,3269.0
2024,junio,Tolima,Ibagué,Parque Nacional Natural Nevados,6609.0
2024,julio,Tolima,Ibagué,Parque Nacional Natural Nevados,6117.0
2024,agosto,Tolima,Ibagué,Parque Nacional Natural Nevados,5547.0
2024,septiembre,Tolima,Ibagué,Parque Nacional Natural Nevados,3784.0
2024,octubre,Tolima,Ibagué,Parque Nacional Natural Nevados,9787.0
2024,noviembre,Tolima,Ibagué,Parque Nacional Natural Nevados,7716.0
2024,diciembre,Tolima,Ibagué,Parque Nacional Natural Nevados,7264.0
